"Project ID","Project Name","Project Status","Construction Status","Plannning Approval Address","Zip Code","Block","Lot","Supervisor District","City Analysis Neighborhood","Planning Neighborhood","Lead Agency","General Housing Program","Specific Program Area","Multiphase or Multisite Project Name","Redevelopment Project Area","Project Type","Housing Tenure","SSP Acquisition Date","Issuance of Notice to Proceed Date","Issuance of Building Permit Date","Issuance of First Construction Document Date","Estimated/Actual Construction Start Date","Estimated Construction Completion Date","Project Lead Sponsor","Project Co-Sponsor","Project Owner","Planning  Case Number","Planning Entitlements","Entitlement Approval Date","Section 415 Declaration","Total Project Units","MOHCD Affordable Units","% Affordable","SRO Units","Studio Units","1bd Units","2bd Units","3bd Units","4bd Units","5+ bd Units","Mobility Units","Family Units","Senior Units","TAY Units","Homeless Units","Disabled Units","LOSP Units","Public Housing Replacement Units","20% AMI","30% AMI","40% AMi","50% AMI","55% AMI","60% AMI","80% AMI","90% AMI","100% AMI","105% AMI","110% AMI","120% AMI","130% AMI","150% AMI","AMI Undeclared","Latitude","Longitude","Location"
"2016-054","469 Eddy","Construction","(4) Site Work Permit Issued","469 Eddy St","94102","337","014A","5","Tenderloin","Downtown/Civic Center","MOHCD","Inclusionary Housing","Inclusionary Housing Program",,"Not in an OCII Project Area","New Construction","Ownership",,,"11/30/2018",,,,"469 Eddy Street, LLC",,,"2014.0562",,"06/16/2016","On-site BMR Project","28","3","11","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","37.78330387","-122.4152724","(37.78330387, -122.4152724)"
"2017-035","3601 Lawton","Pre-Construction","(3) Design with Entitlements Approved","3601 Lawton St","94122","1901","1","4","Sunset/Parkside","Outer Sunset","MOHCD","Inclusionary Housing","Inclusionary Housing Program",,"Not in an OCII Project Area","New Construction","Ownership",,,,,,,"Kodorski Design Inc",,,"2015-009053PRJ","2015-009053CUA,2015-009053ENV,2015-009053PPA,2015-009053PPA-02,2015-009053TDM","12/21/2017","On-site BMR Project","41","10","24","0","0","7","3","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","3","0","0","3","0","0","37.75662309","-122.5016149","(37.75662309, -122.5016149)"
"1993-006","Bernal Bundle Scattered Sites - Woolsey Apartments","Building Rehabilitation (Construction)","(5) First Construction Document Issued","195 Woolsey St","94134",,,"9","Portola","Excelsior","MOHCD","MOHCD 100% Affordable (New Development)","Multifamily Rental Program","Bernal Bundle Scattered Sites","Not in an OCII Project Area","Rehabilitation","Rental","03/28/1994","12/01/2025","09/21/1994",,"10/01/2025","02/01/2026","Bernal Heights Housing Corporation",,,,,,,"10","10","100","0","10","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","2","0","8","0","0","0","0","0","0","0","0","0","37.72480443","-122.4032998","(37.72480443, -122.4032998)"
"2021-001","550 O'Farrell","Pre-Construction","(3) Design with Entitlements Approved","550 O'Farrell St","94102","318","9","5","Tenderloin","Downtown/Civic Center","MOHCD","Inclusionary Housing","Inclusionary Housing Program",,"Not in an OCII Project Area","New Construction","Rental",,,,,,,"Sandhill O'Farrell LLC",,,"2017-004557PRJ",,"01/14/2021","On-site BMR Project; Fee Payment","111","22","20","0","0","7","12","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","4","0","0","0","5","0","0","0","0","37.78596109","-122.4138963","(37.78596109, -122.4138963)"
"2023-011","1010V Mission","Pre-Construction","(3) Design with Entitlements Approved","1010 Mission St","94103","3703","26","6","South of Market","South of Market","MOHCD","Inclusionary Housing","Inclusionary Housing Program",,"Not in an OCII Project Area","New Construction","Ownership",,,,,"01/10/2025",,"Sia Consulting Corp",,,"2022-009297PRJ","2022-009297PRJ, 2020-005514ENV, 2022-009297DNX","01/12/2023","On-site BMR Project; Fee Payment","57","13","23","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","3","0","0","3","0","0","37.7809217","-122.409163","(37.7809217, -122.409163)"
"2011-034","Parkmerced - Phase IC & 1D","Pre-Construction","(3) Design with Entitlements Approved","101 Front Blvd","94132","7331","4","7","Lakeshore","Lakeshore","MOHCD","Inclusionary Housing","Inclusionary Housing Program","Parkmerced","Not in an OCII Project Area","New Construction","Rental",,,,,,,"Maximus",,,"2008.0021","2008.0021C,2008.0021E,2008.0021E_11,2008.0021E_3,2008.0021E_5,2008.0021E_7,2008.0021E_9,2008.0021K,2008.0021M,2008.0021P,2008.0021T,2008.0021U,2008.0021U_3,2008.0021W,2008.0021Z","02/10/2011","On-site BMR Project; Fee Payment","545","27","5","0","0","0","0","0","0","0","0","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27","37.7149243","-122.4732544","(37.7149243, -122.4732544)"
"2023-025","750 Golden Gate Phase I","Construction","(5) First Construction Document Issued","750 Golden Gate Ave","94102","761","62","2","Western Addition","Downtown/Civic Center","MOHCD","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"Not in an OCII Project Area","New Construction","Rental",,"01/08/2025","11/06/2024","11/06/2024","01/08/2025",,"MidPen Housing",,,,,"04/08/2022",,"75","74","99","0","28","7","18","21","0","0","0","74","0","0","0","0","0","0","0","0","6","0","0","8","13","27","0","0","0","20","0","0","0","37.78087361","-122.4227282","(37.78087361, -122.4227282)"
"2021-002","1055 Texas (formerly 999 Texas St)","Construction","(5) First Construction Document Issued","1055 Texas St","94107","4224","178","10","Potrero Hill","Potrero Hill","MOHCD","Inclusionary Housing","Inclusionary Housing Program",,"Not in an OCII Project Area","New Construction","Rental",,,"07/17/2024",,,,"TM Build LLC",,,"2018-015815PRJ","RA 2022089791, 2018-015815PRJ, 2018-015815AHB, 2018-015815ENV, Motion 2033, NSR 2021079436","01/14/2021","On-site BMR Project","25","6","24","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","37.75301524","-122.3944519","(37.75301524, -122.3944519)"
"2019-005","828 Brannan St","Pre-Construction","(3) Design with Entitlements Approved","828 Brannan St","94103","3780","004E","6","South of Market","South of Market","MOHCD","Inclusionary Housing","Inclusionary Housing Program",,"Not in an OCII Project Area","New Construction","Rental",,,,,,,"828 Brannan Partners, LLC (c/o The S. Hekemian Group)",,,"2015-015789PRJ",,"04/25/2019","On-site BMR Project","50","9","18","0","2","3","4","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","37.77275248","-122.4040975","(37.77275248, -122.4040975)"
"2022-014","1196 Columbus","Pre-Construction","(3) Design with Entitlements Approved","1196 Columbus Ave","94133","43","7","3","North Beach","North Beach","MOHCD","Inclusionary Housing","Inclusionary Housing Program",,"Not in an OCII Project Area","New Construction","Rental",,,,,"09/13/2024",,"Elevation Architects",,,"2020-006679PRJ",,"09/15/2022","On-site BMR Project; Fee Payment","56","10","18","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","2","0","0","0","2","0","0","0","0","37.80497409","-122.4166021","(37.80497409, -122.4166021)"
